Domain,Reporter Country Code (M49),Reporter,Partner Country Code (M49),Partner,Measure,Item Code (CPC),Product,Year,Unit,Value,Unit Price (USD per t)
Detailed trade matrix,356,India,96,Brunei Darussalam,Export value,111.0,Wheat,2020,USD,0.0,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export value,111.0,Wheat,2021,USD,0.0,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export value,111.0,Wheat,2022,USD,0.0,
Detailed trade matrix,356,India,116,Cambodia,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2016,t,27.0,
Detailed trade matrix,356,India,116,Cambodia,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2023,t,26.0,
Detailed trade matrix,356,India,116,Cambodia,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2016,USD,6000.0,
Detailed trade matrix,356,India,116,Cambodia,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2023,USD,4000.0,
Detailed trade matrix,356,India,116,Cambodia,Export quantity,111.0,Wheat,2020,t,358.0,
Detailed trade matrix,356,India,116,Cambodia,Export quantity,111.0,Wheat,2021,t,375.0,
Detailed trade matrix,356,India,116,Cambodia,Export quantity,111.0,Wheat,2022,t,75.0,
Detailed trade matrix,356,India,116,Cambodia,Export value,111.0,Wheat,2020,USD,89000.0,
Detailed trade matrix,356,India,116,Cambodia,Export value,111.0,Wheat,2021,USD,127000.0,
Detailed trade matrix,356,India,116,Cambodia,Export value,111.0,Wheat,2022,USD,32000.0,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2015,t,467.51,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2016,t,223.48,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2017,t,149.07,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2018,t,787.8,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2019,t,139.06,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2020,t,10614.34,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2021,t,24521.3,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2022,t,166.7,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2023,t,71.96,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2015,USD,172000.0,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2016,USD,95000.0,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2017,USD,82000.0,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2018,USD,194000.0,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2019,USD,64000.0,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2020,USD,2926000.0,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2021,USD,9979000.0,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2022,USD,83000.0,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2023,USD,77000.0,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export quantity,111.0,Wheat,2015,t,33.0,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export quantity,111.0,Wheat,2016,t,56.5,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export quantity,111.0,Wheat,2017,t,75.46,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export quantity,111.0,Wheat,2018,t,17.86,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export quantity,111.0,Wheat,2019,t,14.29,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export quantity,111.0,Wheat,2020,t,23.59,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export quantity,111.0,Wheat,2021,t,63.01,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export quantity,111.0,Wheat,2022,t,13.59,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export value,111.0,Wheat,2015,USD,14000.0,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export value,111.0,Wheat,2016,USD,22000.0,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export value,111.0,Wheat,2017,USD,28000.0,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export value,111.0,Wheat,2018,USD,7000.0,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export value,111.0,Wheat,2019,USD,9000.0,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export value,111.0,Wheat,2020,USD,11000.0,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export value,111.0,Wheat,2021,USD,32000.0,
Detailed trade matrix,356,India,344,"China, Hong Kong SAR",Export value,111.0,Wheat,2022,USD,7000.0,
Detailed trade matrix,356,India,156,"China, mainland",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2015,t,1417.0,
Detailed trade matrix,356,India,156,"China, mainland",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2016,t,13238.0,
Detailed trade matrix,356,India,156,"China, mainland",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2017,t,4600.0,
Detailed trade matrix,356,India,156,"China, mainland",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2018,t,6843.0,
Detailed trade matrix,356,India,156,"China, mainland",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2019,t,1445.13,
Detailed trade matrix,356,India,156,"China, mainland",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2020,t,580.0,
Detailed trade matrix,356,India,156,"China, mainland",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2022,t,57.42,
Detailed trade matrix,356,India,156,"China, mainland",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2023,t,536.2,
Detailed trade matrix,356,India,156,"China, mainland",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2015,USD,1004000.0,
Detailed trade matrix,356,India,156,"China, mainland",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2016,USD,2188000.0,
Detailed trade matrix,356,India,156,"China, mainland",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2017,USD,1192000.0,
Detailed trade matrix,356,India,156,"China, mainland",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2018,USD,1456000.0,
Detailed trade matrix,356,India,156,"China, mainland",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2019,USD,203000.0,
Detailed trade matrix,356,India,156,"China, mainland",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2020,USD,142000.0,
Detailed trade matrix,356,India,156,"China, mainland",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2022,USD,18000.0,
Detailed trade matrix,356,India,156,"China, mainland",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2023,USD,101000.0,
Detailed trade matrix,356,India,156,"China, mainland",Export quantity,111.0,Wheat,2015,t,6116.0,
Detailed trade matrix,356,India,156,"China, mainland",Export quantity,111.0,Wheat,2016,t,29.0,
Detailed trade matrix,356,India,156,"China, mainland",Export quantity,111.0,Wheat,2021,t,1.65,
Detailed trade matrix,356,India,156,"China, mainland",Export quantity,111.0,Wheat,2022,t,3.0,
Detailed trade matrix,356,India,156,"China, mainland",Export value,111.0,Wheat,2015,USD,1684000.0,
Detailed trade matrix,356,India,156,"China, mainland",Export value,111.0,Wheat,2016,USD,9000.0,
Detailed trade matrix,356,India,156,"China, mainland",Export value,111.0,Wheat,2021,USD,1000.0,
Detailed trade matrix,356,India,156,"China, mainland",Export value,111.0,Wheat,2022,USD,1000.0,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2015,t,112.0,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2016,t,584.0,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2017,t,170.01,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2018,t,111.0,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2019,t,84.0,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2020,t,56.0,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2021,t,78.0,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2022,t,104.0,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2023,t,662.0,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2015,USD,55000.0,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2016,USD,303000.0,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2017,USD,36000.0,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2018,USD,39000.0,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2019,USD,36000.0,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2020,USD,12000.0,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2021,USD,29000.0,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2022,USD,35000.0,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2023,USD,443000.0,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export quantity,111.0,Wheat,2015,t,16895.0,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export quantity,111.0,Wheat,2016,t,2121.0,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export quantity,111.0,Wheat,2019,t,48.0,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export quantity,111.0,Wheat,2020,t,25.0,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export quantity,111.0,Wheat,2021,t,3625.46,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export quantity,111.0,Wheat,2022,t,12244.5,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export value,111.0,Wheat,2015,USD,4130000.0,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export value,111.0,Wheat,2016,USD,493000.0,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export value,111.0,Wheat,2019,USD,17000.0,
Detailed trade matrix,356,India,158,"China, Taiwan Province of",Export value,111.0,Wheat,2020,USD,8000.0,
